DATE,TIME,SPO2,PULSE
2020-10-28, 14:37:25, 92, 67
2020-10-28, 14:37:26, 92, 66
2020-10-28, 14:37:27, 92, 66
2020-10-28, 14:37:28, 92, 65
2020-10-28, 14:37:29, 92, 65
2020-10-28, 14:37:30, 92, 65
2020-10-28, 14:37:31, 92, 64
2020-10-28, 14:37:32, 92, 64
2020-10-28, 14:37:33, 93, 64
2020-10-28, 14:37:34, 92, 64
2020-10-28, 14:37:35, 93, 64
2020-10-28, 14:37:36, 93, 64
2020-10-28, 14:37:37, 93, 64
2020-10-28, 14:37:38, 93, 65
2020-10-28, 14:37:39, 93, 65
2020-10-28, 14:37:40, 93, 65
2020-10-28, 14:37:41, 93, 65
2020-10-28, 14:37:42, 93, 65
2020-10-28, 14:37:43, 93, 64
2020-10-28, 14:37:44, 93, 64
2020-10-28, 14:37:45, 93, 64
2020-10-28, 14:37:46, 93, 64
2020-10-28, 14:37:47, 93, 64
2020-10-28, 14:37:48, 93, 64
2020-10-28, 14:37:49, 93, 64
2020-10-28, 14:37:50, 93, 64
2020-10-28, 14:37:51, 93, 64
2020-10-28, 14:37:52, 93, 64
2020-10-28, 14:37:53, 93, 64
2020-10-28, 14:37:54, 93, 64
2020-10-28, 14:37:55, 93, 64
2020-10-28, 14:37:56, 93, 64
2020-10-28, 14:37:57, 93, 65
2020-10-28, 14:37:58, 93, 65
2020-10-28, 14:37:59, 93, 66
2020-10-28, 14:38:00, 93, 67
2020-10-28, 14:38:01, 93, 67
2020-10-28, 14:38:02, 93, 68
2020-10-28, 14:38:03, 92, 68
2020-10-28, 14:38:04, 93, 68
2020-10-28, 14:38:05, 93, 68
2020-10-28, 14:38:06, 93, 68
2020-10-28, 14:38:07, 93, 68
2020-10-28, 14:38:08, 93, 68
2020-10-28, 14:38:09, 93, 67
2020-10-28, 14:38:10, 93, 67
2020-10-28, 14:38:11, 93, 67
2020-10-28, 14:38:12, 93, 66
2020-10-28, 14:38:13, 93, 67
2020-10-28, 14:38:14, 93, 67
2020-10-28, 14:38:15, 93, 67
2020-10-28, 14:38:16, 93, 67
2020-10-28, 14:38:17, 93, 67
2020-10-28, 14:38:18, 93, 67
2020-10-28, 14:38:19, 93, 67
2020-10-28, 14:38:20, 93, 67
2020-10-28, 14:38:21, 93, 67
2020-10-28, 14:38:22, 93, 67
2020-10-28, 14:38:23, 93, 66
2020-10-28, 14:38:24, 93, 66
2020-10-28, 14:38:25, 93, 66
2020-10-28, 14:38:26, 93, 66
2020-10-28, 14:38:27, 93, 66
2020-10-28, 14:38:28, 93, 66
2020-10-28, 14:38:29, 93, 66
2020-10-28, 14:38:30, 93, 66
2020-10-28, 14:38:31, 93, 66
2020-10-28, 14:38:32, 93, 66
2020-10-28, 14:38:33, 93, 66
2020-10-28, 14:38:34, 93, 66
2020-10-28, 14:38:35, 93, 65
2020-10-28, 14:38:36, 93, 65
2020-10-28, 14:38:37, 93, 65
2020-10-28, 14:38:38, 93, 65
2020-10-28, 14:38:39, 93, 65
2020-10-28, 14:38:40, 94, 65
2020-10-28, 14:38:41, 94, 65
2020-10-28, 14:38:42, 94, 65
2020-10-28, 14:38:43, 94, 65
2020-10-28, 14:38:44, 93, 65
2020-10-28, 14:38:45, 93, 65
2020-10-28, 14:38:46, 94, 65
2020-10-28, 14:38:47, 93, 64
2020-10-28, 14:38:48, 93, 64
2020-10-28, 14:38:49, 93, 65
2020-10-28, 14:38:50, 93, 65
2020-10-28, 14:38:51, 93, 65
2020-10-28, 14:38:52, 93, 65
2020-10-28, 14:38:53, 93, 65
2020-10-28, 14:38:54, 93, 65
2020-10-28, 14:38:55, 93, 65
2020-10-28, 14:38:56, 93, 65
2020-10-28, 14:38:57, 93, 65
2020-10-28, 14:38:58, 93, 65
2020-10-28, 14:38:59, 93, 65
2020-10-28, 14:39:00, 93, 64
2020-10-28, 14:39:01, 93, 64
2020-10-28, 14:39:02, 93, 64
2020-10-28, 14:39:03, 93, 64
2020-10-28, 14:39:04, 93, 64
2020-10-28, 14:39:05, 93, 64
2020-10-28, 14:39:06, 93, 64
2020-10-28, 14:39:07, 93, 64
2020-10-28, 14:39:08, 93, 64
2020-10-28, 14:39:09, 93, 64
2020-10-28, 14:39:10, 93, 64
2020-10-28, 14:39:11, 93, 64
2020-10-28, 14:39:12, 93, 64
2020-10-28, 14:39:13, 93, 64
2020-10-28, 14:39:14, 93, 64
2020-10-28, 14:39:15, 93, 64
2020-10-28, 14:39:16, 94, 64
2020-10-28, 14:39:17, 94, 64
2020-10-28, 14:39:18, 94, 64
2020-10-28, 14:39:19, 94, 64
2020-10-28, 14:39:20, 94, 63
2020-10-28, 14:39:21, 94, 63
2020-10-28, 14:39:22, 94, 63
2020-10-28, 14:39:23, 94, 63
2020-10-28, 14:39:24, 94, 63
2020-10-28, 14:39:25, 94, 63
2020-10-28, 14:39:26, 94, 63
2020-10-28, 14:39:27, 94, 63
2020-10-28, 14:39:28, 94, 64
2020-10-28, 14:39:29, 94, 64
2020-10-28, 14:39:30, 94, 64
2020-10-28, 14:39:31, 94, 64
2020-10-28, 14:39:32, 94, 64
2020-10-28, 14:39:33, 94, 64
2020-10-28, 14:39:34, 94, 64
2020-10-28, 14:39:35, 94, 64
2020-10-28, 14:39:36, 94, 65
2020-10-28, 14:39:37, 94, 65
2020-10-28, 14:39:38, 94, 65
2020-10-28, 14:39:39, 94, 65
2020-10-28, 14:39:40, 93, 66
2020-10-28, 14:39:41, 93, 66
2020-10-28, 14:39:42, 93, 66
2020-10-28, 14:39:43, 93, 67
2020-10-28, 14:39:44, 93, 67
2020-10-28, 14:39:45, 94, 67
2020-10-28, 14:39:46, 94, 67
2020-10-28, 14:39:47, 94, 67
2020-10-28, 14:39:48, 94, 67
2020-10-28, 14:39:49, 94, 67
2020-10-28, 14:39:50, 94, 67
2020-10-28, 14:39:51, 94, 67
2020-10-28, 14:39:52, 94, 67
2020-10-28, 14:39:53, 94, 67
2020-10-28, 14:39:54, 94, 67
2020-10-28, 14:39:55, 93, 67
2020-10-28, 14:39:56, 93, 67
2020-10-28, 14:39:57, 93, 66
2020-10-28, 14:39:58, 93, 66
2020-10-28, 14:39:59, 93, 66
2020-10-28, 14:40:00, 93, 66
2020-10-28, 14:40:01, 93, 66
2020-10-28, 14:40:02, 93, 67
2020-10-28, 14:40:03, 93, 67
2020-10-28, 14:40:04, 93, 66
2020-10-28, 14:40:05, 94, 66
2020-10-28, 14:40:06, 94, 67
2020-10-28, 14:40:07, 94, 67
2020-10-28, 14:40:08, 94, 66
2020-10-28, 14:40:09, 94, 67
2020-10-28, 14:40:10, 94, 67
2020-10-28, 14:40:11, 94, 67
2020-10-28, 14:40:12, 94, 67
2020-10-28, 14:40:13, 94, 67
2020-10-28, 14:40:14, 94, 67
2020-10-28, 14:40:15, 94, 67
2020-10-28, 14:40:16, 94, 67
2020-10-28, 14:40:17, 94, 67
2020-10-28, 14:40:18, 94, 67
